ABBV
ABT
AIG
ALB
AXP
BA
BAC
BLK
CAT
CB
COP
CVS
CVX
DAL
F
FDX
GE
GM
HON
KR
LLY
LMT
LUV
MA
MET
MMM
MPC
OXY
PEP
SLB
SO
T
TGT
TMO
TSN
UAL
VLO
WFC
XRX
